Data,Total
2025-05-01,1389.54
2025-05-02,1191.61
2025-05-03,1292.6
2025-05-04,477.84
2025-05-06,347.89
2025-05-07,302.89
2025-05-08,518.83
2025-05-09,314.9
2025-05-10,104.96
2025-05-11,228.92
2025-05-13,234.92
2025-05-14,500.86
2025-05-15,336.89
2025-05-16,450.85
2025-05-17,1231.61
2025-05-18,795.76
2025-05-20,446.85
2025-05-21,270.91
2025-05-22,780.72
2025-05-23,553.84
2025-05-24,871.72
2025-05-25,390.88
2025-05-28,36.99
2025-05-29,206.93
2025-05-30,99.96
2025-05-31,380.88
