Data,Total
2025-03-01,1397.57
2025-03-02,1284.6
2025-03-03,1572.49
2025-03-04,1460.53
2025-03-06,914.32
2025-03-07,1198.62
2025-03-08,1447.89
2025-03-09,659.41
2025-03-11,301.91
2025-03-12,813.48
2025-03-13,495.47
2025-03-14,1222.48
2025-03-15,847.71
2025-03-16,578.8
2025-03-18,329.89
2025-03-19,493.86
2025-03-20,272.92
2025-03-21,681.77
2025-03-22,1326.57
2025-03-23,654.8
2025-03-25,351.87
2025-03-26,402.87
2025-03-27,781.76
2025-03-28,1014.65
2025-03-29,683.79
2025-03-30,960.69
